,,,,,,,,,,,,,,
"//","Open/save this file as a standard CSV  <=>  comma (,) separated and double quotes ("") as text delimiter.",,,,,,,,,,,,,
"//","You can safely insert commas or double quotes into data fields.",,,,,,,,,,,,,
"//","EXCEPTION: Don't insert a comma right after a double quote, since this terminates the field.",,,,,,,,,,,,,
"//","When editing with OO.org Calc, use the single quote (') for three-number-dates to circumvent automatic conversion.",,,,,,,,,,,,,
"//",,,,,,,,,,,,,,
"//",,,,,,,,,,,,,,
"//!","gnuclad parses this correctly no matter in what order the nodes are. You can swap any lines.",,,,,,,,,,,,,
"//!",,,,,,,,,,,,,,
"//!","Empty lines get ignored, the first column controls the rest of the line:",,,,,,,,,,,,,
"//!","# = comment, N = node, C = connector, D = domain",,,,,,,,,,,,,
"//!","SVG = SVG image to include, PNG = PNG image to include",,,,,,,,,,,,,
"//!",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"#","Nodes",,,,,,,,,,,,,
"#","Name","Color","Parent","Start","Stop","Icon","Description","[Namechange","When","Description","[Namechange","When","Description",". . . ]]"
"N","Parent","#f00",,"2002.6",0,,"www.google.com","Paront",2005.1,,"Parant","2007.4",,
"N","Child","#00F","Parent","2004.1.23",0,,"http://en.wikipedia.org/wiki/Cladistics",,,,,,,
"N","Grandchlid","#0f0","Child","2005.2","2007.10.22",,,,,,,,,
"N","Grandchild2","#01faf4","Child","2005.5.1",0,,,"SomethingElse","2008.12",,,,,
"N","Grandchild3","#f1a000","Child",2008.3,"2009.6",,,,,,,,,
"N","Neighbour","#Ff0",,2004.6,2008,,"http://www.merriam-webster.com/dictionary/neighbor",,,,,,,
"N","Neighbour2","#f0f",,"2003.12",0,,,,,,,,,
"N","NeighboursChild","#0f0","Neighbour2",2005.2,0,,,,,,,,,
"N","NeighboursChild2","#ff0","Neighbour2",2007,0,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"#","Connectors",,,,,,,,,,,,,
"#","Leaving 'To When' empty will result in using 'From When' as this value",,,,,,,,,,,,,
"#","From When","From","To When","To","Thickness","Color",,,,,,,,
"C",2005.12,"Neighbour",2007,"Neighbour2",2,"#1df",,,,,,,,
"C",2007.4,"Parent",,"Neighbour",3,"#f00",,,,,,,,
,,,,,,,,,,,,,,
"#","Domains",,,,,,,,,,,,,
"#","Node","Color","Intensity",,,,,,,,,,,
"D","Parent","#faa",30,,,,,,,,,,,
,,,,,,,,,,,,,,
"#","Path","x Position","y Position",,,,,,,,,,,
"SVG","images/test.svg",0,150,,,,,,,,,,,
"PNG","images/pic.png",880,230,,,,,,,,,,,
